,t,c,producto,CantidadPedir
643,5,2,14,0
644,5,2,15,0
645,5,3,1,0
646,5,3,2,21
647,5,3,3,0
648,5,3,4,0
649,5,3,5,1
650,5,3,6,0
651,5,3,7,2
652,5,3,8,0
653,5,3,9,0
654,5,3,10,0
655,5,3,11,0
656,5,3,12,0
657,5,3,13,12
658,5,3,14,0
659,5,3,15,0
660,5,4,1,0
661,5,4,2,0
662,5,4,3,0
663,5,4,4,0
664,5,4,5,0
665,5,4,6,0
666,5,4,7,0
667,5,4,8,0
668,5,4,9,0
669,5,4,10,0
670,5,4,11,0
671,5,4,12,0
672,5,4,13,0
673,5,4,14,0
674,5,4,15,0
675,5,5,1,0
676,5,5,2,0
677,5,5,3,0
678,5,5,4,0
679,5,5,5,0
680,5,5,6,0
681,5,5,7,0
682,5,5,8,0
683,5,5,9,0
684,5,5,10,0
685,5,5,11,0
686,5,5,12,0
687,5,5,13,0
688,5,5,14,0
689,5,5,15,0
690,5,6,1,0
691,5,6,2,0
692,5,6,3,0
693,5,6,4,0
694,5,6,5,0
695,5,6,6,0
696,5,6,7,0
697,5,6,8,0
698,5,6,9,0
699,5,6,10,0
700,5,6,11,0
701,5,6,12,0
702,5,6,13,0
703,5,6,14,0
704,5,6,15,0
705,5,7,1,11
706,5,7,2,0
707,5,7,3,0
708,5,7,4,0
709,5,7,5,7
710,5,7,6,0
711,5,7,7,0
712,5,7,8,5
713,5,7,9,0
714,5,7,10,1
715,5,7,11,0
716,5,7,12,0
717,5,7,13,12
718,5,7,14,0
719,5,7,15,0
720,5,8,1,0
721,5,8,2,0
722,5,8,3,0
723,5,8,4,0
724,5,8,5,0
725,5,8,6,0
726,5,8,7,0
727,5,8,8,0
728,5,8,9,0
729,5,8,10,0
730,5,8,11,0
731,5,8,12,0
732,5,8,13,0
733,5,8,14,0
734,5,8,15,0
735,5,9,1,0
736,5,9,2,0
737,5,9,3,0
738,5,9,4,25
739,5,9,5,0
740,5,9,6,0
741,5,9,7,2
742,5,9,8,0
743,5,9,9,1
744,5,9,10,0
745,5,9,11,0
746,5,9,12,0
747,5,9,13,0
748,5,9,14,0
749,5,9,15,6
750,6,0,1,0
751,6,0,2,0
752,6,0,3,0
753,6,0,4,0
754,6,0,5,0
755,6,0,6,0
756,6,0,7,0
757,6,0,8,0
758,6,0,9,0
759,6,0,10,0
760,6,0,11,0
761,6,0,12,0
762,6,0,13,0
763,6,0,14,0
764,6,0,15,0
765,6,1,1,9
766,6,1,2,0
767,6,1,3,0
768,6,1,4,0
769,6,1,5,5
770,6,1,6,1
771,6,1,7,6
772,6,1,8,0
773,6,1,9,1
774,6,1,10,0
775,6,1,11,0
776,6,1,12,2
777,6,1,13,0
778,6,1,14,0
779,6,1,15,12
780,6,2,1,0
781,6,2,2,0
782,6,2,3,0
783,6,2,4,0
784,6,2,5,0
785,6,2,6,0
786,6,2,7,0
787,6,2,8,0
788,6,2,9,0
789,6,2,10,0
790,6,2,11,0
791,6,2,12,0
792,6,2,13,0
793,6,2,14,0
794,6,2,15,0
795,6,3,1,0
796,6,3,2,0
797,6,3,3,0
798,6,3,4,0
799,6,3,5,0
800,6,3,6,0
801,6,3,7,0
802,6,3,8,0
803,6,3,9,0
804,6,3,10,0
805,6,3,11,0
806,6,3,12,0
807,6,3,13,0
808,6,3,14,0
809,6,3,15,0
810,6,4,1,0
811,6,4,2,0
812,6,4,3,0
813,6,4,4,0
814,6,4,5,0
815,6,4,6,0
816,6,4,7,0
817,6,4,8,0
818,6,4,9,0
819,6,4,10,0
820,6,4,11,0
821,6,4,12,0
822,6,4,13,0
823,6,4,14,0
824,6,4,15,0
825,6,5,1,0
826,6,5,2,0
827,6,5,3,0
828,6,5,4,0
829,6,5,5,0
830,6,5,6,0
831,6,5,7,0
832,6,5,8,0
833,6,5,9,0
834,6,5,10,0
835,6,5,11,0
836,6,5,12,0
837,6,5,13,0
838,6,5,14,0
839,6,5,15,0
840,6,6,1,1
841,6,6,2,0
842,6,6,3,0
843,6,6,4,0
844,6,6,5,7
845,6,6,6,0
846,6,6,7,1
847,6,6,8,19
848,6,6,9,0
849,6,6,10,0
850,6,6,11,0
851,6,6,12,0
852,6,6,13,6
853,6,6,14,0
854,6,6,15,0
855,6,7,1,0
856,6,7,2,0
857,6,7,3,0
858,6,7,4,0
859,6,7,5,0
860,6,7,6,0
861,6,7,7,0
862,6,7,8,0
863,6,7,9,0
864,6,7,10,0
865,6,7,11,0
866,6,7,12,0
867,6,7,13,0
868,6,7,14,0
869,6,7,15,0
870,6,8,1,0
871,6,8,2,0
872,6,8,3,0
873,6,8,4,0
874,6,8,5,0
875,6,8,6,0
876,6,8,7,0
877,6,8,8,0
878,6,8,9,0
879,6,8,10,0
880,6,8,11,0
881,6,8,12,0
882,6,8,13,0
883,6,8,14,0
884,6,8,15,0
885,6,9,1,0
886,6,9,2,0
887,6,9,3,0
888,6,9,4,0
889,6,9,5,0
890,6,9,6,0
891,6,9,7,0
892,6,9,8,0
893,6,9,9,0
894,6,9,10,0
895,6,9,11,0
896,6,9,12,0
897,6,9,13,0
898,6,9,14,0
899,6,9,15,0
900,7,0,1,0
901,7,0,2,0
902,7,0,3,0
903,7,0,4,0
904,7,0,5,0
905,7,0,6,0
906,7,0,7,0
907,7,0,8,0
908,7,0,9,0
909,7,0,10,0
910,7,0,11,0
911,7,0,12,0
912,7,0,13,0
913,7,0,14,0
914,7,0,15,0
915,7,1,1,11
916,7,1,2,11
917,7,1,3,5
918,7,1,4,0
919,7,1,5,0
920,7,1,6,0
921,7,1,7,1
922,7,1,8,0
923,7,1,9,0
924,7,1,10,0
925,7,1,11,0
926,7,1,12,0
927,7,1,13,0
928,7,1,14,0
929,7,1,15,6
930,7,2,1,0
931,7,2,2,0
932,7,2,3,0
933,7,2,4,0
934,7,2,5,0
935,7,2,6,0
936,7,2,7,0
937,7,2,8,0
938,7,2,9,0
939,7,2,10,0
940,7,2,11,0
941,7,2,12,0
942,7,2,13,0
943,7,2,14,0
944,7,2,15,0
945,7,3,1,0
946,7,3,2,0
947,7,3,3,0
948,7,3,4,0
949,7,3,5,0
950,7,3,6,0
951,7,3,7,0
952,7,3,8,0
953,7,3,9,0
954,7,3,10,0
955,7,3,11,0
956,7,3,12,0
957,7,3,13,0
958,7,3,14,0
959,7,3,15,0
960,7,4,1,0
961,7,4,2,0
962,7,4,3,0
963,7,4,4,0
964,7,4,5,0
965,7,4,6,0
966,7,4,7,0
967,7,4,8,0
968,7,4,9,0
969,7,4,10,0
970,7,4,11,0
971,7,4,12,0
972,7,4,13,0
973,7,4,14,0
974,7,4,15,0
975,7,5,1,21
976,7,5,2,0
977,7,5,3,0
978,7,5,4,0
979,7,5,5,0
980,7,5,6,0
981,7,5,7,0
982,7,5,8,0
983,7,5,9,2
984,7,5,10,0
985,7,5,11,0
986,7,5,12,1
987,7,5,13,0
988,7,5,14,0
989,7,5,15,12
990,7,6,1,0
991,7,6,2,0
992,7,6,3,0
993,7,6,4,0
994,7,6,5,0
995,7,6,6,0
996,7,6,7,0
997,7,6,8,0
998,7,6,9,0
999,7,6,10,0
1000,7,6,11,0
1001,7,6,12,0
1002,7,6,13,0
1003,7,6,14,0
1004,7,6,15,0
1005,7,7,1,0
1006,7,7,2,0
1007,7,7,3,0
1008,7,7,4,0
1009,7,7,5,0
1010,7,7,6,0
1011,7,7,7,0
1012,7,7,8,0
1013,7,7,9,0
1014,7,7,10,0
1015,7,7,11,0
1016,7,7,12,0
1017,7,7,13,0
1018,7,7,14,0
1019,7,7,15,0
1020,7,8,1,0
1021,7,8,2,0
1022,7,8,3,0
1023,7,8,4,0
1024,7,8,5,0
1025,7,8,6,0
1026,7,8,7,0
1027,7,8,8,0
1028,7,8,9,0
1029,7,8,10,0
1030,7,8,11,0
1031,7,8,12,0
1032,7,8,13,0
1033,7,8,14,0
1034,7,8,15,0
1035,7,9,1,0
1036,7,9,2,0
1037,7,9,3,0
1038,7,9,4,0
1039,7,9,5,0
1040,7,9,6,0
1041,7,9,7,0
1042,7,9,8,0
1043,7,9,9,0
1044,7,9,10,0
1045,7,9,11,0
1046,7,9,12,0
1047,7,9,13,0
1048,7,9,14,0
1049,7,9,15,0
1050,8,0,1,0
1051,8,0,2,0
1052,8,0,3,0
1053,8,0,4,0
1054,8,0,5,0
1055,8,0,6,0
1056,8,0,7,0
1057,8,0,8,0
1058,8,0,9,0
1059,8,0,10,0
1060,8,0,11,0
1061,8,0,12,0
1062,8,0,13,0
1063,8,0,14,0
1064,8,0,15,0
1065,8,1,1,0
1066,8,1,2,0
1067,8,1,3,0
1068,8,1,4,0
1069,8,1,5,0
1070,8,1,6,0
1071,8,1,7,0
1072,8,1,8,0
1073,8,1,9,0
1074,8,1,10,0
1075,8,1,11,0
1076,8,1,12,0
1077,8,1,13,0
1078,8,1,14,0
1079,8,1,15,0
1080,8,2,1,0
1081,8,2,2,0
1082,8,2,3,0
1083,8,2,4,0
1084,8,2,5,0
1085,8,2,6,0
1086,8,2,7,0
1087,8,2,8,0
1088,8,2,9,0
1089,8,2,10,0
1090,8,2,11,0
1091,8,2,12,0
1092,8,2,13,0
1093,8,2,14,0
1094,8,2,15,0
1095,8,3,1,0
1096,8,3,2,0
1097,8,3,3,9
1098,8,3,4,0
1099,8,3,5,20
1100,8,3,6,0
1101,8,3,7,3
1102,8,3,8,0
1103,8,3,9,0
1104,8,3,10,0
1105,8,3,11,0
1106,8,3,12,0
1107,8,3,13,0
1108,8,3,14,0
1109,8,3,15,0
1110,8,4,1,0
1111,8,4,2,0
1112,8,4,3,0
1113,8,4,4,0
1114,8,4,5,0
1115,8,4,6,0
1116,8,4,7,0
1117,8,4,8,0
1118,8,4,9,0
1119,8,4,10,0
1120,8,4,11,0
1121,8,4,12,0
1122,8,4,13,0
1123,8,4,14,0
1124,8,4,15,0
1125,8,5,1,0
1126,8,5,2,0
1127,8,5,3,0
1128,8,5,4,0
1129,8,5,5,0
1130,8,5,6,0
1131,8,5,7,0
1132,8,5,8,0
1133,8,5,9,0
1134,8,5,10,0
1135,8,5,11,0
1136,8,5,12,0
1137,8,5,13,0
1138,8,5,14,0
1139,8,5,15,0
1140,8,6,1,0
1141,8,6,2,10
1142,8,6,3,4
1143,8,6,4,0
1144,8,6,5,0
1145,8,6,6,0
1146,8,6,7,10
1147,8,6,8,0
1148,8,6,9,0
1149,8,6,10,0
1150,8,6,11,0
1151,8,6,12,0
1152,8,6,13,0
1153,8,6,14,0
1154,8,6,15,12
1155,8,7,1,0
1156,8,7,2,0
1157,8,7,3,0
1158,8,7,4,0
1159,8,7,5,0
1160,8,7,6,0
1161,8,7,7,0
1162,8,7,8,0
1163,8,7,9,0
1164,8,7,10,0
1165,8,7,11,0
1166,8,7,12,0
1167,8,7,13,0
1168,8,7,14,0
1169,8,7,15,0
