,k,t,i,b,x,y,z,r
504,1,1,4,b,1600,0,1000,0
505,1,1,4,b,1600,0,2000,0
506,1,1,4,b,1600,0,3000,0
507,1,1,4,b,2800,0,0,0
508,1,1,4,b,2800,0,1000,0
509,1,1,4,b,2800,0,2000,0
510,1,1,4,b,4000,0,0,0
511,1,1,4,b,4000,0,1000,0
512,1,1,4,b,4000,0,2000,0
513,1,1,4,b,5200,0,0,0
514,1,1,4,b,5200,0,1000,0
515,1,1,3,b,5200,0,2000,1
516,1,1,3,b,5200,0,3000,1
517,1,1,3,b,5200,0,4000,1
518,1,1,3,b,6400,0,0,1
519,1,1,3,b,6400,0,1000,1
520,1,1,3,b,6400,0,2000,1
521,1,1,3,b,7600,0,0,1
522,1,1,3,b,7600,0,1000,1
523,1,1,3,b,7600,0,2000,1
524,1,1,3,b,8800,0,0,1
525,1,1,4,b,8800,0,1000,1
526,1,1,4,b,8800,0,2000,1
527,1,1,4,b,8800,0,3000,1
528,1,1,4,b,10000,0,0,1
529,1,1,4,b,10000,0,1000,1
530,1,1,4,b,10000,0,2000,1
531,1,1,4,b,11200,0,0,1
532,1,1,4,b,11200,0,1000,1
533,1,1,5,a,0,1200,2000,0
534,1,1,5,a,0,1200,2750,0
535,1,1,5,a,0,1200,3500,0
536,1,1,5,a,0,1200,4250,0
537,1,1,5,a,1600,1200,0,0
538,1,1,5,a,1600,1200,750,0
539,1,1,5,a,1600,1200,1500,0
540,1,1,5,a,1600,1200,2250,0
541,1,1,5,a,3200,1200,0,0
542,1,1,5,a,3200,1200,750,0
543,1,1,5,a,3200,1200,1500,0
544,1,1,5,a,3200,1200,2250,0
545,1,1,5,a,4800,1200,0,0
546,1,1,5,a,4800,1200,750,0
547,1,1,5,a,4800,1200,1500,0
548,1,1,5,a,4800,1200,2250,0
549,1,1,5,a,6400,1200,0,0
550,1,1,5,a,6400,1200,750,0
551,1,1,5,a,6400,1200,1500,0
552,1,1,5,a,6400,1200,2250,0
553,1,1,5,a,8000,1200,0,0
554,1,1,5,a,8000,1200,750,0
555,1,1,5,a,8000,1200,1500,0
556,1,1,5,a,8000,1200,2250,0
