,k,t,i,b,x,y,z,r,Volume
273,1,2,1,b,9400,0,2000,0,1200000000
274,1,2,3,a,10000,1200,0,0,1440000000
275,1,2,3,a,10000,1200,750,0,1440000000
276,1,2,3,a,10000,1200,1500,0,1440000000
277,1,2,3,a,10000,1200,2250,0,1440000000
278,1,2,2,b,10400,0,0,0,1200000000
279,1,2,1,b,10400,0,1000,0,1200000000
280,1,2,2,b,10400,0,2000,0,1200000000
281,1,2,3,a,11400,0,0,0,1440000000
282,1,2,5,a,11400,0,750,0,1440000000
283,1,2,3,a,11400,0,1500,0,1440000000
284,1,2,3,a,11400,0,2250,0,1440000000
285,1,2,1,b,11600,1200,0,0,1200000000
286,1,2,2,b,11600,1200,1000,0,1200000000
287,1,2,1,b,11600,1200,2000,0,1200000000
288,1,2,2,b,12600,1200,0,0,1200000000
289,1,2,1,b,12600,1200,1000,0,1200000000
290,1,2,6,b,12600,1200,2000,0,1200000000
291,0,3,8,b,0,0,0,0,1200000000
292,0,3,2,b,0,0,1000,0,1200000000
293,0,3,6,b,0,0,2000,0,1200000000
294,0,3,5,a,0,1200,0,0,1440000000
295,0,3,9,a,0,1200,750,0,1440000000
296,0,3,3,a,0,1200,1500,0,1440000000
297,0,3,5,a,0,1200,2250,0,1440000000
298,0,3,1,b,1000,0,0,0,1200000000
299,0,3,6,b,1000,0,1000,0,1200000000
300,0,3,8,b,1000,0,2000,0,1200000000
301,0,3,6,b,1600,1200,0,0,1200000000
302,0,3,2,b,1600,1200,1000,0,1200000000
303,0,3,8,b,1600,1200,2000,0,1200000000
304,0,3,1,b,2000,0,0,0,1200000000
305,0,3,6,b,2000,0,1000,0,1200000000
306,0,3,8,b,2000,0,2000,0,1200000000
307,0,3,6,b,2600,1200,0,0,1200000000
308,0,3,2,b,2600,1200,1000,0,1200000000
309,0,3,6,b,2600,1200,2000,0,1200000000
310,0,3,9,a,3000,0,0,0,1440000000
311,0,3,3,a,3000,0,750,0,1440000000
312,0,3,5,a,3000,0,1500,0,1440000000
313,0,3,5,a,3000,0,2250,0,1440000000
314,0,3,8,b,3600,1200,0,0,1200000000
315,0,3,1,b,3600,1200,1000,0,1200000000
316,0,3,6,b,3600,1200,2000,0,1200000000
317,0,3,8,b,4600,0,0,0,1200000000
318,0,3,6,b,4600,0,1000,0,1200000000
319,0,3,2,b,4600,0,2000,0,1200000000
320,0,3,3,a,4600,1200,0,0,1440000000
321,0,3,5,a,4600,1200,750,0,1440000000
322,0,3,3,a,4600,1200,1500,0,1440000000
323,0,3,5,a,4600,1200,2250,0,1440000000
324,0,3,3,a,5600,0,0,0,1440000000
325,0,3,5,a,5600,0,750,0,1440000000
326,0,3,3,a,5600,0,1500,0,1440000000
327,0,3,5,a,5600,0,2250,0,1440000000
328,0,3,8,b,6200,1200,0,0,1200000000
329,0,3,1,b,6200,1200,1000,0,1200000000
330,0,3,6,b,6200,1200,2000,0,1200000000
331,0,3,6,b,7200,0,0,0,1200000000
332,0,3,8,b,7200,0,1000,0,1200000000
333,0,3,2,b,7200,0,2000,0,1200000000
334,0,3,6,b,7200,1200,0,0,1200000000
335,0,3,1,b,7200,1200,1000,0,1200000000
