,t,c,producto,CantidadPedir
758,6,8,5,0
759,6,8,6,0
760,6,8,7,0
761,6,8,8,0
762,6,8,9,0
763,6,8,10,0
764,6,8,11,0
765,6,8,12,0
766,6,8,13,0
767,6,9,1,0
768,6,9,2,0
769,6,9,3,0
770,6,9,4,0
771,6,9,5,0
772,6,9,6,0
773,6,9,7,0
774,6,9,8,0
775,6,9,9,0
776,6,9,10,0
777,6,9,11,0
778,6,9,12,0
779,6,9,13,0
780,7,0,1,0
781,7,0,2,0
782,7,0,3,0
783,7,0,4,0
784,7,0,5,0
785,7,0,6,0
786,7,0,7,0
787,7,0,8,0
788,7,0,9,0
789,7,0,10,0
790,7,0,11,0
791,7,0,12,0
792,7,0,13,0
793,7,1,1,0
794,7,1,2,0
795,7,1,3,0
796,7,1,4,0
797,7,1,5,0
798,7,1,6,0
799,7,1,7,0
800,7,1,8,0
801,7,1,9,0
802,7,1,10,0
803,7,1,11,0
804,7,1,12,0
805,7,1,13,0
806,7,2,1,0
807,7,2,2,0
808,7,2,3,0
809,7,2,4,0
810,7,2,5,0
811,7,2,6,0
812,7,2,7,0
813,7,2,8,0
814,7,2,9,0
815,7,2,10,0
816,7,2,11,0
817,7,2,12,0
818,7,2,13,0
819,7,3,1,0
820,7,3,2,0
821,7,3,3,1
822,7,3,4,0
823,7,3,5,6
824,7,3,6,4
825,7,3,7,10
826,7,3,8,8
827,7,3,9,0
828,7,3,10,0
829,7,3,11,8
830,7,3,12,0
831,7,3,13,2
832,7,4,1,0
833,7,4,2,0
834,7,4,3,0
835,7,4,4,0
836,7,4,5,0
837,7,4,6,0
838,7,4,7,0
839,7,4,8,0
840,7,4,9,0
841,7,4,10,0
842,7,4,11,0
843,7,4,12,0
844,7,4,13,0
845,7,5,1,0
846,7,5,2,0
847,7,5,3,0
848,7,5,4,0
849,7,5,5,0
850,7,5,6,0
851,7,5,7,0
852,7,5,8,0
853,7,5,9,0
854,7,5,10,0
855,7,5,11,0
856,7,5,12,0
857,7,5,13,0
858,7,6,1,0
859,7,6,2,0
860,7,6,3,0
861,7,6,4,0
862,7,6,5,0
863,7,6,6,0
864,7,6,7,0
865,7,6,8,0
866,7,6,9,0
867,7,6,10,0
868,7,6,11,0
869,7,6,12,0
870,7,6,13,0
871,7,7,1,0
872,7,7,2,0
873,7,7,3,0
874,7,7,4,0
875,7,7,5,0
876,7,7,6,0
877,7,7,7,0
878,7,7,8,0
879,7,7,9,0
880,7,7,10,0
881,7,7,11,0
882,7,7,12,0
883,7,7,13,0
884,7,8,1,8
885,7,8,2,0
886,7,8,3,10
887,7,8,4,0
888,7,8,5,0
889,7,8,6,0
890,7,8,7,0
891,7,8,8,0
892,7,8,9,1
893,7,8,10,9
894,7,8,11,0
895,7,8,12,2
896,7,8,13,8
897,7,9,1,0
898,7,9,2,7
899,7,9,3,5
900,7,9,4,6
901,7,9,5,4
902,7,9,6,5
903,7,9,7,0
904,7,9,8,0
