,k,t,i,b,x,y,z,r,Volume
318,0,3,7,c,3000,1600,0,1,1440000000
319,0,3,10,c,3000,1600,1000,1,1440000000
320,0,3,4,c,3000,1600,2000,1,1440000000
321,0,3,7,c,4800,1600,0,1,1440000000
322,0,3,10,c,4800,1600,1000,1,1440000000
323,0,3,4,c,4800,1600,2000,1,1440000000
324,0,3,8,b,6600,0,0,0,1200000000
325,0,3,6,b,6600,0,1000,0,1200000000
326,0,3,2,b,6600,0,2000,0,1200000000
327,0,3,8,b,6600,1200,0,0,1200000000
328,0,3,1,b,6600,1200,1000,0,1200000000
329,0,3,6,b,6600,1200,2000,0,1200000000
330,0,3,6,b,7600,0,0,0,1200000000
331,0,3,8,b,7600,0,1000,0,1200000000
332,0,3,2,b,7600,0,2000,0,1200000000
333,0,3,3,a,7600,1200,0,0,1440000000
334,0,3,5,a,7600,1200,750,0,1440000000
335,0,3,3,a,7600,1200,1500,0,1440000000
336,0,3,5,a,7600,1200,2250,0,1440000000
337,0,3,6,b,8600,0,0,0,1200000000
338,0,3,1,b,8600,0,1000,0,1200000000
339,0,3,8,b,8600,0,2000,0,1200000000
340,0,3,6,b,9200,1200,0,0,1200000000
341,0,3,6,b,9200,1200,1000,0,1200000000
342,0,3,2,b,9200,1200,2000,0,1200000000
343,0,3,1,b,9600,0,0,0,1200000000
344,0,3,6,b,9600,0,1000,0,1200000000
345,0,3,6,b,9600,0,2000,0,1200000000
346,0,3,5,a,10200,1200,0,0,1440000000
347,0,3,3,a,10200,1200,750,0,1440000000
348,0,3,5,a,10200,1200,1500,0,1440000000
349,0,3,3,a,10200,1200,2250,0,1440000000
350,0,3,7,c,11800,0,0,1,1440000000
351,0,3,4,c,11800,0,1000,1,1440000000
352,0,3,7,c,11800,0,2000,1,1440000000
353,0,3,4,c,11800,800,0,1,1440000000
354,0,3,7,c,11800,800,1000,1,1440000000
355,0,3,4,c,11800,800,2000,1,1440000000
356,0,3,2,b,10600,0,0,0,1200000000
357,0,3,6,b,10600,0,1000,0,1200000000
358,0,3,1,b,10600,0,2000,0,1200000000
359,0,3,7,c,11800,1600,0,1,1440000000
360,0,3,4,c,11800,1600,1000,1,1440000000
361,0,3,4,c,11800,1600,2000,1,1440000000
362,1,3,6,b,0,0,0,0,1200000000
363,1,3,6,b,0,0,1000,0,1200000000
364,1,3,2,b,0,0,2000,0,1200000000
365,1,3,1,b,0,1200,0,0,1200000000
366,1,3,6,b,0,1200,1000,0,1200000000
367,1,3,2,b,0,1200,2000,0,1200000000
368,1,3,5,a,1000,0,0,0,1440000000
369,1,3,3,a,1000,0,750,0,1440000000
370,1,3,3,a,1000,0,1500,0,1440000000
371,1,3,3,a,1000,0,2250,0,1440000000
372,1,3,1,b,1000,1200,0,0,1200000000
373,1,3,2,b,1000,1200,1000,0,1200000000
374,1,3,1,b,1000,1200,2000,0,1200000000
375,1,3,2,b,2000,1200,0,0,1200000000
376,1,3,1,b,2000,1200,1000,0,1200000000
377,1,3,2,b,2000,1200,2000,0,1200000000
378,1,3,4,c,2600,0,0,1,1440000000
379,1,3,4,c,2600,0,1000,1,1440000000
380,1,3,4,c,2600,0,2000,1,1440000000
381,1,3,4,c,3000,800,0,1,1440000000
382,1,3,4,c,3000,800,1000,1,1440000000
383,1,3,4,c,3000,800,2000,1,1440000000
384,1,3,1,b,4800,0,0,0,1200000000
385,1,3,2,b,4800,0,1000,0,1200000000
386,1,3,1,b,4800,0,2000,0,1200000000
387,1,3,2,b,4800,1200,0,0,1200000000
388,1,3,1,b,4800,1200,1000,0,1200000000
389,1,3,2,b,4800,1200,2000,0,1200000000
390,1,3,3,a,5800,0,0,0,1440000000
391,1,3,3,a,5800,0,750,0,1440000000
392,1,3,3,a,5800,0,1500,0,1440000000
393,1,3,3,a,5800,0,2250,0,1440000000
394,1,3,1,b,5800,1200,0,0,1200000000
395,1,3,2,b,5800,1200,1000,0,1200000000
396,1,3,1,b,5800,1200,2000,0,1200000000
397,1,3,2,b,6800,1200,0,0,1200000000
398,1,3,1,b,6800,1200,1000,0,1200000000
399,1,3,2,b,6800,1200,2000,0,1200000000
400,1,3,1,b,7400,0,0,0,1200000000
401,1,3,2,b,7400,0,1000,0,1200000000
402,1,3,1,b,7400,0,2000,0,1200000000
403,1,3,3,a,7800,1200,0,0,1440000000
404,1,3,3,a,7800,1200,750,0,1440000000
405,1,3,3,a,7800,1200,1500,0,1440000000
406,1,3,3,a,7800,1200,2250,0,1440000000
407,1,3,3,a,8400,0,0,0,1440000000
408,1,3,3,a,8400,0,750,0,1440000000
409,1,3,3,a,8400,0,1500,0,1440000000
410,1,3,3,a,8400,0,2250,0,1440000000
411,1,3,4,c,3000,1600,0,1,1440000000
412,1,3,4,c,3000,1600,1000,1,1440000000
413,1,3,4,c,3000,1600,2000,1,1440000000
414,1,3,2,b,9400,1200,0,0,1200000000
415,1,3,1,b,9400,1200,1000,0,1200000000
416,1,3,1,b,9400,1200,2000,0,1200000000
417,1,3,1,b,10000,0,0,0,1200000000
418,1,3,1,b,10000,0,1000,0,1200000000
419,1,3,2,b,10000,0,2000,0,1200000000
420,1,3,6,b,10400,1200,0,0,1200000000
421,1,3,1,b,10400,1200,1000,0,1200000000
422,1,3,2,b,10400,1200,2000,0,1200000000
423,1,3,5,a,11000,0,0,0,1440000000
424,1,3,3,a,11000,0,750,0,1440000000
425,1,3,3,a,11000,0,1500,0,1440000000
426,1,3,3,a,11000,0,2250,0,1440000000
427,1,3,1,b,12600,0,0,0,1200000000
428,1,3,2,b,12600,0,1000,0,1200000000
429,1,3,8,b,12600,0,2000,0,1200000000
430,1,3,1,b,11400,1200,0,0,1200000000
431,1,3,6,b,11400,1200,1000,0,1200000000
432,1,3,2,b,11400,1200,2000,0,1200000000
433,1,3,1,b,12400,1200,0,0,1200000000
434,1,3,2,b,12400,1200,1000,0,1200000000
435,1,3,1,b,12400,1200,2000,0,1200000000
436,0,4,2,b,0,0,0,0,1200000000
437,0,4,8,b,0,0,1000,0,1200000000
438,0,4,6,b,0,0,2000,0,1200000000
439,0,4,1,b,0,1200,0,0,1200000000
440,0,4,8,b,0,1200,1000,0,1200000000
441,0,4,6,b,0,1200,2000,0,1200000000
442,0,4,2,b,1000,0,0,0,1200000000
443,0,4,6,b,1000,0,1000,0,1200000000
444,0,4,8,b,1000,0,2000,0,1200000000
445,0,4,1,b,1000,1200,0,0,1200000000
446,0,4,6,b,1000,1200,1000,0,1200000000
447,0,4,8,b,1000,1200,2000,0,1200000000
448,0,4,6,b,2000,0,0,0,1200000000
449,0,4,2,b,2000,0,1000,0,1200000000
450,0,4,8,b,2000,0,2000,0,1200000000
451,0,4,9,a,2000,1200,0,0,1440000000
452,0,4,3,a,2000,1200,750,0,1440000000
453,0,4,5,a,2000,1200,1500,0,1440000000
454,0,4,5,a,2000,1200,2250,0,1440000000
455,0,4,9,a,3000,0,0,0,1440000000
456,0,4,3,a,3000,0,750,0,1440000000
457,0,4,5,a,3000,0,1500,0,1440000000
458,0,4,3,a,3000,0,2250,0,1440000000
459,0,4,6,b,3600,1200,0,0,1200000000
460,0,4,1,b,3600,1200,1000,0,1200000000
461,0,4,6,b,3600,1200,2000,0,1200000000
462,0,4,5,a,4600,0,0,1,1440000000
463,0,4,3,a,4600,0,750,1,1440000000
464,0,4,5,a,4600,0,1500,1,1440000000
465,0,4,3,a,4600,0,2250,1,1440000000
